// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B47AA9
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
38617	2	-0.078705	0.010387	9.964078	-0.014149	0.018779	0.151679	1.000000	0.000159	-0.000129	0.000067
38618	2	-0.060146	-0.001172	9.939298	0.004343	0.007299	0.126789	1.000000	0.000162	-0.000133	0.000063
38619	2	-0.059009	0.017083	9.948742	0.005461	0.025511	0.136210	1.000000	0.000164	-0.000137	0.000059
38620	2	-0.075380	0.004962	9.950348	-0.011009	0.013412	0.137933	1.000000	0.000160	-0.000144	0.000067
38621	2	-0.070385	0.013698	9.932311	-0.006111	0.022252	0.119855	1.000000	0.000152	-0.000135	0.000071
38622	2	-0.074047	0.022709	9.959796	-0.009488	0.031395	0.147356	1.000000	0.000149	-0.000134	0.000066
38623	2	-0.090499	0.010588	9.961404	-0.025950	0.019275	0.149081	1.000000	0.000152	-0.000137	0.000063
38624	2	-0.088101	0.005784	9.947666	-0.023640	0.014360	0.135332	1.000000	0.000159	-0.000133	0.000077
38625	2	-0.070735	0.017395	9.946065	-0.006360	0.026025	0.133609	1.000000	0.000146	-0.000145	0.000055
38626	2	-0.056540	-0.003233	9.939319	0.007671	0.005506	0.126788	1.000000	0.000148	-0.000146	0.000071
38627	2	-0.067639	0.012190	9.932332	-0.003640	0.020884	0.119860	1.000000	0.000150	-0.000162	0.000060
38628	2	-0.076358	-0.006226	9.968417	-0.012149	0.002500	0.156016	1.000000	0.000148	-0.000148	0.000062
38629	2	-0.064295	0.025404	9.928040	-0.000252	0.034195	0.115534	1.000000	0.000140	-0.000152	0.000049
38630	2	-0.080738	0.013149	9.929651	-0.016700	0.022050	0.117262	1.000000	0.000137	-0.000149	0.000054
38631	2	-0.084352	0.022192	9.957141	-0.020084	0.031176	0.144766	1.000000	0.000134	-0.000147	0.000050
38632	2	-0.081945	0.017294	9.943401	-0.017767	0.026274	0.131016	1.000000	0.000136	-0.000149	0.000056
38633	2	-0.069938	0.001467	9.950389	-0.002613	0.008567	0.137944	1.000000	0.000229	0.000015	0.000114
38634	2	-0.052678	0.013168	9.948783	0.014648	0.020278	0.136213	1.000000	0.000230	0.000002	0.000123
38635	2	-0.054637	-0.000672	9.953083	0.012530	0.006293	0.140536	1.000000	0.000244	-0.000004	0.000109
38636	2	-0.080153	0.016668	9.943417	-0.013121	0.023469	0.131030	1.000000	0.000245	-0.000005	0.000125
38637	2	-0.079862	0.016540	9.943419	-0.012704	0.023239	0.131031	1.000000	0.000254	0.000008	0.000127
38638	2	-0.079547	0.016317	9.943422	-0.012288	0.023010	0.131032	1.000000	0.000246	0.000006	0.000124
38639	2	-0.067006	0.018782	9.959854	0.000535	0.025639	0.147377	1.000000	0.000239	0.000025	0.000126
38640	2	-0.065520	-0.004553	9.936661	0.002233	0.002316	0.124191	1.000000	0.000243	0.000043	0.000117
38641	2	-0.079026	0.015474	9.943428	-0.011038	0.022320	0.131035	1.000000	0.000241	0.000045	0.000112
38642	2	-0.052589	-0.002137	9.953094	0.015479	0.004727	0.140533	1.000000	0.000243	0.000044	0.000128
38643	2	-0.063874	0.013248	9.946118	0.004102	0.020064	0.133624	1.000000	0.000245	0.000040	0.000123
38644	2	-0.065931	-0.000705	9.950417	0.002012	0.006062	0.137946	1.000000	0.000248	0.000038	0.000128
38645	2	-0.085810	0.014911	9.988974	-0.017586	0.021607	0.176628	1.000000	0.000255	0.000042	0.000143
38646	2	-0.060589	0.008157	9.932381	0.007255	0.014716	0.119869	1.000000	0.000258	0.000038	0.000139
38647	2	-0.076440	0.014370	9.943450	-0.008540	0.020931	0.131041	1.000000	0.000255	0.000040	0.000134
38648	2	-0.078085	0.018630	9.957199	-0.010029	0.025360	0.144798	1.000000	0.000242	0.000045	0.000139
38649	2	-0.075682	0.013819	9.943456	-0.007710	0.020471	0.131042	1.000000	0.000263	0.000041	0.000114
38650	2	-0.082255	-0.009094	9.965795	-0.014167	-0.002654	0.153441	1.000000	0.000264	0.000040	0.000128
38651	2	-0.057958	0.025529	9.941847	0.009908	0.032021	0.129305	1.000000	0.000256	0.000036	0.000115
38652	2	-0.088684	0.014902	9.940790	-0.020774	0.021545	0.128464	1.000000	0.000248	0.000045	0.000119
38653	2	-0.088426	0.014627	9.940792	-0.020354	0.021311	0.128465	1.000000	0.000252	0.000052	0.000113
38654	2	-0.078245	0.003565	9.961513	-0.010002	0.010199	0.149123	1.000000	0.000255	0.000048	0.000109
38655	2	-0.058915	0.010813	9.946152	0.009102	0.017339	0.133626	1.000000	0.000262	0.000040	0.000115
38656	2	-0.072177	0.030972	9.952934	-0.004241	0.037295	0.140486	1.000000	0.000276	0.000035	0.000111
38657	2	-0.072221	0.012430	9.943484	-0.004378	0.018634	0.131048	1.000000	0.000273	0.000037	0.000105
38658	2	-0.069780	0.007562	9.929740	-0.002052	0.013753	0.117291	1.000000	0.000276	0.000033	0.000101
38659	2	-0.056969	0.010406	9.946164	0.010769	0.016436	0.133625	1.000000	0.000291	0.000027	0.000086
38660	2	-0.072889	0.016727	9.957242	-0.005042	0.022597	0.144808	1.000000	0.000293	0.000037	0.000099
38661	2	-0.072542	0.016441	9.957245	-0.004626	0.022367	0.144809	1.000000	0.000285	0.000034	0.000096
38662	2	-0.075048	-0.016105	9.952086	-0.007175	-0.010077	0.139687	1.000000	0.000283	0.000036	0.000090
38663	2	-0.086146	0.017672	9.954580	-0.018110	0.023632	0.142237	1.000000	0.000292	0.000049	0.000092
38664	2	-0.083887	0.012862	9.940834	-0.015776	0.018752	0.128479	1.000000	0.000289	0.000052	0.000097
38665	2	-0.073603	0.001695	9.961549	-0.005385	0.007665	0.149129	1.000000	0.000285	0.000045	0.000104
38666	2	-0.068691	0.010519	9.943511	-0.000623	0.016575	0.131053	1.000000	0.000279	0.000050	0.000078
38667	2	-0.067868	0.028672	9.952971	0.000301	0.034779	0.140496	1.000000	0.000281	0.000049	0.000093
38668	2	-0.086282	0.021155	9.968347	-0.017940	0.027115	0.156003	1.000000	0.000295	0.000056	0.000095
38669	2	-0.069269	0.033075	9.966726	-0.000791	0.038970	0.154258	1.000000	0.000287	0.000064	0.000089
38670	2	-0.086076	0.002178	9.958896	-0.017605	0.008221	0.146562	1.000000	0.000279	0.000061	0.000086
38671	2	-0.083134	0.015690	9.954609	-0.014775	0.021776	0.142247	1.000000	0.000283	0.000056	0.000072
38672	2	-0.072419	0.023034	9.984778	-0.003874	0.029128	0.172337	1.000000	0.000280	0.000059	0.000077
38673	2	-0.086760	0.006239	9.972657	-0.018259	0.012157	0.160325	1.000000	0.000300	0.000059	0.000070
38674	2	-0.082178	-0.003151	9.945162	-0.014001	0.002646	0.132804	1.000000	0.000291	0.000046	0.000069
38675	2	-0.064970	0.008565	9.943538	0.003135	0.014525	0.131055	1.000000	0.000283	0.000053	0.000062
38676	2	-0.083152	0.000778	9.958921	-0.015084	0.006820	0.146567	1.000000	0.000283	0.000031	0.000082
38677	2	-0.080165	0.014376	9.954635	-0.012279	0.020382	0.142253	1.000000	0.000287	0.000038	0.000075
38678	2	-0.065517	0.012596	9.957299	0.002461	0.018481	0.144818	1.000000	0.000295	0.000039	0.000069
38679	2	-0.076986	0.027946	9.950352	-0.009064	0.033715	0.137940	1.000000	0.000298	0.000037	0.000075
38680	2	-0.078812	0.013958	9.954647	-0.011028	0.019687	0.142256	1.000000	0.000300	0.000022	0.000073
38681	2	-0.076349	0.009216	9.940899	-0.008690	0.014821	0.128494	1.000000	0.000310	0.000034	0.000064
38682	2	-0.090324	0.010874	9.938243	-0.022599	0.016248	0.125934	1.000000	0.000323	0.000030	0.000069
38683	2	-0.061097	0.007484	9.943563	0.006474	0.012702	0.131056	1.000000	0.000325	0.000014	0.000057
38684	2	-0.076923	0.013488	9.954662	-0.009360	0.018760	0.142259	1.000000	0.000318	0.000022	0.000050
38685	2	-0.074589	0.008433	9.940913	-0.007017	0.013902	0.128497	1.000000	0.000305	0.000025	0.000046
