// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B47AA9
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
41692	2	-0.070255	0.017473	9.959953	-0.005132	-0.002279	0.147527	0.999784	0.001570	-0.000081	0.020738
41693	2	-0.066880	0.015532	9.945718	-0.001740	-0.004074	0.133266	0.999784	0.001572	-0.000071	0.020729
41694	2	-0.061176	0.001975	9.948474	0.004676	-0.017381	0.135958	0.999784	0.001569	-0.000067	0.020728
41695	2	-0.053415	0.010946	9.979018	0.012276	-0.008052	0.166469	0.999784	0.001562	-0.000070	0.020727
41696	2	-0.068106	0.026397	9.928736	-0.003440	0.006823	0.116314	0.999784	0.001573	-0.000074	0.020728
41697	2	-0.076170	-0.002800	9.960657	-0.009967	-0.022772	0.148230	0.999784	0.001567	-0.000059	0.020736
41698	2	-0.086700	0.023505	9.955156	-0.021488	0.003209	0.142850	0.999784	0.001560	-0.000061	0.020734
41699	2	-0.086236	0.023255	9.955161	-0.021045	0.002996	0.142851	0.999784	0.001565	-0.000062	0.020725
41700	2	-0.085794	0.023109	9.955165	-0.020604	0.002785	0.142852	0.999784	0.001569	-0.000062	0.020725
41701	2	-0.063679	0.013742	9.945741	0.001814	-0.005717	0.133266	0.999784	0.001572	-0.000062	0.020725
41702	2	-0.063288	0.013522	9.945744	0.002258	-0.005923	0.133265	0.999784	0.001569	-0.000058	0.020734
41703	2	-0.041278	0.004140	9.936317	0.024688	-0.014410	0.123675	0.999784	0.001577	-0.000051	0.020734
41704	2	-0.052410	0.020620	9.962049	0.013239	0.001633	0.149512	0.999784	0.001561	-0.000039	0.020732
41705	2	-0.065316	0.014515	9.959991	0.000646	-0.004959	0.147527	0.999784	0.001573	-0.000044	0.020715
41706	2	-0.096800	0.015934	9.953127	-0.030980	-0.004864	0.140874	0.999784	0.001564	-0.000046	0.020732
41707	2	-0.085576	0.033228	9.938204	-0.020582	0.012833	0.125911	0.999784	0.001580	-0.000044	0.020715
41708	2	-0.063825	0.014057	9.960001	0.001976	-0.005566	0.147527	0.999784	0.001575	-0.000057	0.020723
41709	2	-0.052388	-0.012873	9.965497	0.014467	-0.031934	0.152894	0.999784	0.001572	-0.000053	0.020722
41710	2	-0.044230	0.006024	9.964811	0.021918	-0.012649	0.152192	0.999784	0.001568	-0.000048	0.020731
41711	2	-0.046220	0.017431	9.947827	0.019279	-0.001338	0.135244	0.999784	0.001575	-0.000060	0.020722
41712	2	-0.064426	0.024578	9.943029	0.000673	0.005125	0.130580	0.999784	0.001561	-0.000057	0.020729
41713	2	-0.095854	0.025903	9.936177	-0.030959	0.005167	0.123936	0.999784	0.001575	-0.000073	0.020722
41714	2	-0.092738	0.014143	9.953169	-0.027422	-0.006550	0.140883	0.999784	0.001568	-0.000075	0.020721
41715	2	-0.076030	0.017947	9.940987	-0.011021	-0.001906	0.128600	0.999784	0.001561	-0.000078	0.020719
41716	2	-0.076029	0.007803	9.972217	-0.010416	-0.012053	0.159809	0.999784	0.001564	-0.000077	0.020729
41717	2	-0.091308	0.013296	9.953183	-0.026089	-0.007177	0.140886	0.999784	0.001562	-0.000083	0.020738
41718	2	-0.058852	0.011517	9.960035	0.006433	-0.007593	0.147524	0.999784	0.001560	-0.000080	0.020728
