// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B47AB0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
41692	2	-0.067467	-0.038250	9.706212	0.012446	-0.000218	-0.106174	0.999873	0.000521	0.000325	0.015922
41693	2	-0.047794	-0.041290	9.707908	0.032249	-0.002673	-0.104628	0.999873	0.000518	0.000341	0.015922
41694	2	-0.039700	-0.053136	9.707234	0.040829	-0.014272	-0.105323	0.999873	0.000523	0.000338	0.015921
41695	2	-0.069726	-0.038979	9.706193	0.010207	-0.001200	-0.106171	0.999873	0.000530	0.000325	0.015920
41696	2	-0.062783	-0.052861	9.719960	0.017497	-0.014767	-0.092408	0.999873	0.000519	0.000317	0.015924
41697	2	-0.059540	-0.030899	9.708555	0.019937	0.007289	-0.103923	0.999873	0.000526	0.000324	0.015918
41698	2	-0.080781	-0.028368	9.706840	-0.001355	0.009082	-0.105474	0.999873	0.000524	0.000320	0.015923
41699	2	-0.094240	-0.039493	9.718897	-0.014618	-0.002360	-0.093264	0.999873	0.000519	0.000297	0.015903
41700	2	-0.068971	-0.018303	9.694768	0.009665	0.019536	-0.117681	0.999873	0.000523	0.000309	0.015921
41701	2	-0.056355	-0.047718	9.736745	0.023681	-0.009230	-0.075696	0.999873	0.000514	0.000311	0.015919
41702	2	-0.052656	-0.042186	9.693423	0.026831	-0.003663	-0.119067	0.999873	0.000512	0.000307	0.015924
41703	2	-0.057782	-0.048405	9.736733	0.022189	-0.009893	-0.075693	0.999873	0.000517	0.000304	0.015923
