// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
09554	2	0.041912	-0.016610	10.048353	0.018776	0.009432	0.235745	1.000000	0.000010	-0.000030	0.000367
09555	2	0.040988	-0.031921	10.046772	0.017841	-0.005795	0.234201	1.000000	0.000013	-0.000042	0.000346
09556	2	0.021736	-0.019548	10.059275	-0.001452	0.006454	0.246628	1.000000	0.000024	-0.000031	0.000334
09557	2	0.020812	-0.034631	10.057690	-0.002382	-0.008787	0.245080	1.000000	0.000028	-0.000044	0.000309
09558	2	0.022504	-0.019123	10.045090	-0.000858	0.006703	0.232444	1.000000	0.000023	-0.000049	0.000296
09559	2	0.014992	-0.037558	10.071878	-0.008363	-0.011746	0.259262	1.000000	0.000035	-0.000038	0.000277
09560	2	0.019794	-0.020422	10.045093	-0.003552	0.005367	0.232444	1.000000	0.000020	-0.000053	0.000290
09561	2	0.029646	-0.022790	10.062565	0.006088	0.003168	0.249945	1.000000	0.000024	-0.000057	0.000282
09562	2	0.017783	-0.036179	10.043504	-0.005808	-0.010502	0.230890	1.000000	0.000042	-0.000061	0.000278
09563	2	0.030426	-0.022140	10.048384	0.006712	0.003454	0.235764	1.000000	0.000035	-0.000067	0.000292
09564	2	0.025770	-0.024479	10.062572	0.002074	0.001186	0.249947	1.000000	0.000038	-0.000056	0.000285
09565	2	0.024374	-0.025168	10.062573	0.000732	0.000515	0.249947	1.000000	0.000032	-0.000062	0.000273
09566	2	0.047069	-0.020908	10.023317	0.023571	0.004756	0.210733	1.000000	0.000032	-0.000051	0.000289
09567	2	0.021111	-0.011933	10.064172	-0.002351	0.013781	0.251504	1.000000	0.000035	-0.000048	0.000281
09568	2	0.037264	-0.010875	10.053290	0.013888	0.014760	0.240657	1.000000	0.000037	-0.000045	0.000279
09569	2	0.022077	-0.026075	10.048396	-0.001286	-0.000525	0.235767	1.000000	0.000042	-0.000049	0.000256
09570	2	0.020353	-0.012197	10.049996	-0.003024	0.013358	0.237327	1.000000	0.000037	-0.000046	0.000256
09571	2	0.030035	-0.014519	10.067482	0.006597	0.011154	0.254842	1.000000	0.000037	-0.000051	0.000270
09572	2	0.028797	-0.015062	10.067485	0.005258	0.010499	0.254843	1.000000	0.000047	-0.000055	0.000260
09573	2	0.013615	-0.030194	10.062580	-0.009932	-0.004769	0.249941	1.000000	0.000048	-0.000053	0.000257
09574	2	0.043647	-0.014629	10.056620	0.020162	0.010844	0.244012	1.000000	0.000042	-0.000050	0.000258
09575	2	0.013721	-0.015552	10.050002	-0.009707	0.010082	0.237327	1.000000	0.000029	-0.000048	0.000253
09576	2	0.026851	-0.030851	10.051713	0.003628	-0.005088	0.239107	1.000000	0.000031	-0.000030	0.000243
09577	2	0.025460	-0.031395	10.051715	0.002288	-0.005737	0.239107	1.000000	0.000040	-0.000043	0.000257
09578	2	0.020927	-0.033661	10.065893	-0.002345	-0.007996	0.253280	1.000000	0.000034	-0.000039	0.000265
09579	2	0.019201	-0.019719	10.067500	-0.004085	0.005923	0.254848	1.000000	0.000042	-0.000043	0.000285
09580	2	0.021592	-0.033169	10.051718	-0.001686	-0.007667	0.239105	1.000000	0.000044	-0.000041	0.000288
09581	2	0.030840	-0.020861	10.070825	0.007489	0.004649	0.258203	1.000000	0.000046	-0.000046	0.000282
09582	2	0.008075	-0.032703	10.034219	-0.015276	-0.007427	0.221574	1.000000	0.000056	-0.000051	0.000290
09583	2	0.028212	-0.022112	10.070830	0.004821	0.003277	0.258205	1.000000	0.000044	-0.000040	0.000272
09584	2	0.029565	-0.006454	10.058270	0.006415	0.018823	0.245608	1.000000	0.000067	-0.000029	0.000295
09585	2	0.010185	0.006033	10.070727	-0.012929	0.031024	0.257991	1.000000	0.000072	-0.000033	0.000262
09586	2	0.027495	-0.036599	10.055053	0.004584	-0.011645	0.242462	1.000000	0.000068	-0.000014	0.000249
09587	2	0.019480	-0.040615	10.083399	-0.003445	-0.015559	0.270800	1.000000	0.000070	-0.000028	0.000251
09588	2	0.024948	-0.037999	10.055055	0.001922	-0.012941	0.242462	1.000000	0.000062	-0.000032	0.000271
09589	2	0.041214	-0.036932	10.044223	0.018197	-0.011917	0.231664	1.000000	0.000072	-0.000029	0.000267
09590	2	0.010813	-0.022986	10.039161	-0.012052	0.001877	0.226498	1.000000	0.000073	-0.000018	0.000268
09591	2	0.002456	-0.012539	10.069117	-0.020474	0.012535	0.256409	1.000000	0.000059	-0.000029	0.000282
09592	2	0.018875	-0.011383	10.058291	-0.004196	0.013550	0.245618	1.000000	0.000084	-0.000033	0.000292
09593	2	0.046908	-0.041057	10.061748	0.023830	-0.016123	0.249213	1.000000	0.000062	-0.000030	0.000291
09594	2	0.027599	-0.028901	10.074191	0.004458	-0.003899	0.261581	1.000000	0.000079	-0.000035	0.000299
09595	2	0.029011	0.001419	10.063264	0.005645	0.026179	0.250583	1.000000	0.000083	-0.000054	0.000291
09596	2	0.011576	-0.044635	10.069222	-0.012035	-0.019847	0.256614	1.000000	0.000077	-0.000060	0.000293
09597	2	0.041274	-0.014476	10.065002	0.017659	0.010350	0.252389	1.000000	0.000081	-0.000055	0.000283
09598	2	0.011695	-0.029779	10.056675	-0.011765	-0.005000	0.244030	1.000000	0.000075	-0.000046	0.000280
09599	2	0.024489	-0.030380	10.060031	0.001166	-0.005613	0.247418	1.000000	0.000085	-0.000042	0.000281
09600	2	0.033685	-0.017941	10.079181	0.010294	0.006698	0.266559	1.000000	0.000094	-0.000047	0.000289
09601	2	0.025206	-0.029667	10.045870	0.001876	-0.005295	0.233256	1.000000	0.000102	-0.000045	0.000306
09602	2	0.038077	-0.030267	10.049234	0.014795	-0.005885	0.236651	1.000000	0.000096	-0.000041	0.000305
09603	2	0.033348	-0.032719	10.063400	0.010092	-0.008154	0.250813	1.000000	0.000088	-0.000039	0.000320
09604	2	0.020634	-0.017233	10.047500	-0.002537	0.007359	0.234846	1.000000	0.000088	-0.000036	0.000340
09605	2	0.019240	-0.017845	10.047502	-0.003863	0.006717	0.234846	1.000000	0.000091	-0.000032	0.000333
09606	2	0.014911	-0.034833	10.060036	-0.008125	-0.010129	0.247411	1.000000	0.000077	-0.000028	0.000337
09607	2	0.031189	-0.033877	10.049246	0.008158	-0.009094	0.236656	1.000000	0.000080	-0.000033	0.000330
09608	2	0.015514	-0.020122	10.047504	-0.007849	0.004767	0.234845	1.000000	0.000065	-0.000061	0.000342
09609	2	0.024774	-0.007940	10.066673	0.001263	0.017052	0.254005	1.000000	0.000074	-0.000042	0.000351
09610	2	0.045248	-0.034188	10.038467	0.021792	-0.009355	0.225911	1.000000	0.000077	-0.000063	0.000345
09611	2	0.008459	-0.023606	10.061665	-0.015238	0.001117	0.248997	1.000000	0.000087	-0.000060	0.000342
09612	2	0.035233	-0.009619	10.070061	0.011478	0.015116	0.257422	1.000000	0.000081	-0.000066	0.000336
09613	2	0.016614	-0.026655	10.079204	-0.007246	-0.000939	0.266563	1.000000	0.000033	-0.000061	0.000027
09614	2	0.019117	-0.040045	10.063411	-0.004779	-0.014494	0.250810	1.000000	0.000051	-0.000081	0.000006
09615	2	0.034716	-0.009677	10.055914	0.010632	0.015670	0.243274	1.000000	0.000052	-0.000080	0.000005
09616	2	0.030198	-0.012072	10.070074	0.005900	0.013372	0.257429	1.000000	0.000045	-0.000101	0.000015
09617	2	0.032747	-0.025626	10.054282	0.008405	-0.000195	0.241677	1.000000	0.000048	-0.000089	0.000010
09618	2	0.031776	-0.040636	10.052645	0.007511	-0.015425	0.240076	1.000000	0.000066	-0.000093	0.000015
