// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
09554	2	0.013910	-0.082881	9.878447	0.012004	-0.004212	0.066109	1.000000	-0.000010	0.000029	-0.000108
09555	2	0.002984	-0.064325	9.866108	0.001180	0.014183	0.053620	1.000000	-0.000013	0.000042	-0.000096
09556	2	0.001984	-0.067603	9.880550	0.000216	0.011046	0.068087	1.000000	-0.000012	0.000032	-0.000091
09557	2	-0.001051	-0.082752	9.878143	-0.002921	-0.004047	0.065801	1.000000	-0.000019	0.000031	-0.000087
09558	2	-0.001223	-0.083744	9.878135	-0.003164	-0.004997	0.065801	1.000000	-0.000017	0.000028	-0.000096
09559	2	-0.001467	-0.084652	9.878127	-0.003371	-0.005939	0.065800	1.000000	-0.000015	0.000033	-0.000101
09560	2	0.014869	-0.076828	9.895250	0.012910	0.002065	0.082863	1.000000	-0.000022	0.000023	-0.000101
09561	2	-0.016052	-0.083533	9.877830	-0.018148	-0.004807	0.065491	1.000000	-0.000013	0.000019	-0.000101
09562	2	0.015335	-0.076302	9.880789	0.013223	0.002311	0.068399	1.000000	-0.000009	0.000022	-0.000094
09563	2	0.015715	-0.074977	9.866336	0.013786	0.003543	0.053936	1.000000	-0.000014	0.000036	-0.000098
09564	2	0.018433	-0.061744	9.868739	0.016520	0.016786	0.056234	1.000000	-0.000007	0.000024	-0.000098
09565	2	0.004662	-0.057239	9.854008	0.002739	0.021094	0.041465	1.000000	-0.000006	0.000035	-0.000092
09566	2	0.013414	-0.082160	9.895209	0.011606	-0.003595	0.082864	1.000000	0.000002	0.000034	-0.000093
09567	2	0.000411	-0.075268	9.866031	-0.001390	0.002899	0.053630	1.000000	0.000011	0.000038	-0.000093
09568	2	0.003051	-0.062180	9.868438	0.001334	0.016095	0.055933	1.000000	-0.000008	0.000043	-0.000094
09569	2	0.013328	-0.082658	9.880741	0.011661	-0.004251	0.068401	1.000000	0.000009	0.000044	-0.000090
09570	2	-0.015375	-0.077257	9.880174	-0.017179	0.000925	0.067786	1.000000	0.000015	0.000026	-0.000086
09571	2	-0.001277	-0.081146	9.880448	-0.003048	-0.003055	0.068093	1.000000	0.000018	0.000047	-0.000080
09572	2	0.017744	-0.059199	9.900005	0.016234	0.019058	0.087479	1.000000	0.000013	0.000053	-0.000077
09573	2	0.015308	-0.072095	9.883134	0.013849	0.006148	0.070709	1.000000	0.000006	0.000052	-0.000065
09574	2	-0.002236	-0.084236	9.880422	-0.003658	-0.005928	0.068091	1.000000	0.000002	0.000058	-0.000069
09575	2	-0.002556	-0.085135	9.880414	-0.003865	-0.006869	0.068091	1.000000	0.000012	0.000063	-0.000073
09576	2	-0.016429	-0.080809	9.865680	-0.017615	-0.002579	0.053321	1.000000	-0.000007	0.000070	-0.000070
09577	2	0.000384	-0.070847	9.868380	-0.000525	0.007609	0.055944	1.000000	-0.000005	0.000091	-0.000074
09578	2	0.001485	-0.062247	9.899688	0.000694	0.016436	0.087183	1.000000	-0.000006	0.000082	-0.000078
09579	2	-0.003797	-0.089197	9.880378	-0.004709	-0.010582	0.068087	1.000000	-0.000013	0.000080	-0.000086
09580	2	0.001208	-0.064240	9.899675	0.000270	0.014599	0.087186	1.000000	-0.000013	0.000078	-0.000092
09581	2	-0.014703	-0.071496	9.868070	-0.015705	0.006955	0.055638	1.000000	-0.000002	0.000075	-0.000117
09582	2	0.012131	-0.083116	9.897512	0.011172	-0.004550	0.085173	1.000000	-0.000000	0.000081	-0.000111
09583	2	-0.018943	-0.089612	9.880063	-0.019885	-0.011299	0.067774	1.000000	0.000009	0.000078	-0.000116
09584	2	0.016055	-0.066064	9.871052	0.015313	0.012123	0.058580	1.000000	0.000005	0.000100	-0.000127
09585	2	0.012607	-0.081163	9.868607	0.012085	-0.002955	0.056254	1.000000	0.000006	0.000102	-0.000106
09586	2	0.000187	-0.067184	9.885199	-0.000265	0.011119	0.072734	1.000000	0.000009	0.000107	-0.000131
09587	2	-0.003054	-0.082220	9.882751	-0.003486	-0.004008	0.070405	1.000000	0.000012	0.000104	-0.000130
09588	2	-0.000296	-0.069080	9.885186	-0.000695	0.009216	0.072736	1.000000	0.000005	0.000109	-0.000120
09589	2	0.014494	-0.070813	9.871022	0.014172	0.007406	0.058586	1.000000	0.000007	0.000113	-0.000129
09590	2	0.014195	-0.071643	9.871016	0.013964	0.006445	0.058587	1.000000	0.000017	0.000117	-0.000118
09591	2	0.010174	-0.089018	9.883002	0.009949	-0.010849	0.070710	1.000000	0.000010	0.000115	-0.000126
09592	2	-0.000518	-0.070461	9.870720	-0.000827	0.007665	0.058281	1.000000	0.000011	0.000110	-0.000123
09593	2	-0.012926	-0.056405	9.887320	-0.013163	0.021758	0.074769	1.000000	0.000021	0.000121	-0.000139
09594	2	-0.000438	-0.069914	9.856268	-0.000496	0.008020	0.043825	1.000000	0.000008	0.000127	-0.000146
09595	2	-0.005272	-0.089700	9.882685	-0.005277	-0.011507	0.070398	1.000000	0.000016	0.000125	-0.000142
09596	2	0.014900	-0.065390	9.887869	0.014848	0.012754	0.075390	1.000000	0.000017	0.000123	-0.000148
09597	2	0.012602	-0.078103	9.870969	0.012389	-0.000096	0.058591	1.000000	0.000017	0.000111	-0.000143
09598	2	0.013314	-0.076611	9.856524	0.012994	0.001166	0.044135	1.000000	0.000027	0.000110	-0.000153
09599	2	0.012202	-0.079854	9.870956	0.011979	-0.001972	0.058591	1.000000	0.000020	0.000122	-0.000153
09600	2	-0.016012	-0.072199	9.855944	-0.016074	0.005541	0.043520	1.000000	0.000029	0.000126	-0.000152
09601	2	-0.000356	-0.066798	9.887556	-0.000557	0.011201	0.075088	1.000000	0.000020	0.000108	-0.000154
09602	2	-0.001352	-0.070364	9.901985	-0.001553	0.008040	0.089545	1.000000	-0.000001	0.000125	-0.000164
09603	2	-0.003033	-0.080848	9.870640	-0.003204	-0.002532	0.058283	1.000000	0.000005	0.000112	-0.000158
09604	2	0.001986	-0.055794	9.890001	0.001825	0.022587	0.077445	1.000000	0.000007	0.000125	-0.000165
09605	2	0.011531	-0.083343	9.856472	0.011486	-0.005293	0.044136	1.000000	0.000009	0.000124	-0.000167
09606	2	-0.001508	-0.071658	9.887522	-0.001613	0.006532	0.075092	1.000000	0.000018	0.000120	-0.000167
09607	2	0.012495	-0.075521	9.887800	0.012470	0.002463	0.075401	1.000000	0.000030	0.000132	-0.000188
09608	2	0.010018	-0.088192	9.870887	0.009995	-0.010384	0.058588	1.000000	0.000023	0.000121	-0.000190
09609	2	-0.004387	-0.085997	9.870596	-0.004554	-0.008206	0.058279	1.000000	0.000032	0.000117	-0.000208
09610	2	0.014933	-0.064226	9.890253	0.014816	0.013734	0.077765	1.000000	0.000020	0.000124	-0.000197
09611	2	-0.017019	-0.073084	9.887204	-0.017010	0.004904	0.074786	1.000000	0.000029	0.000129	-0.000182
09612	2	-0.019632	-0.085734	9.870286	-0.019448	-0.007948	0.057968	1.000000	0.000025	0.000143	-0.000186
09613	2	0.033203	-0.051332	9.864128	0.030499	0.026045	0.051548	1.000000	0.000047	-0.000029	-0.000448
09614	2	-0.008532	-0.104916	9.868073	-0.011293	-0.027432	0.055902	1.000000	0.000037	0.000006	-0.000437
09615	2	-0.011199	-0.046452	9.877701	-0.013659	0.031272	0.065070	1.000000	0.000030	-0.000004	-0.000419
09616	2	-0.005468	-0.090459	9.856099	-0.007904	-0.012937	0.043817	1.000000	0.000041	0.000013	-0.000419
09617	2	0.009855	-0.085242	9.887724	0.007616	-0.007384	0.075404	1.000000	0.000020	0.000014	-0.000432
09618	2	-0.000819	-0.066853	9.875483	-0.003058	0.011199	0.063015	1.000000	0.000013	0.000012	-0.000432
