// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
09554	2	-0.010478	-0.048222	9.780733	0.007482	0.008288	-0.031836	1.000000	0.000077	0.000029	0.000052
09555	2	-0.021372	-0.047307	9.811397	-0.003355	0.009243	-0.001158	1.000000	0.000076	0.000029	0.000058
09556	2	-0.006155	-0.048206	9.809872	0.011789	0.008427	-0.002706	1.000000	0.000067	0.000022	0.000050
09557	2	-0.022452	-0.062058	9.796889	-0.004522	-0.005408	-0.015579	1.000000	0.000067	0.000030	0.000054
09558	2	-0.005224	-0.077552	9.824558	0.012915	-0.020729	0.012148	1.000000	0.000066	0.000038	0.000051
09559	2	-0.036031	-0.061300	9.798419	-0.017881	-0.004538	-0.014028	1.000000	0.000057	0.000037	0.000047
09560	2	-0.033899	-0.061178	9.812990	-0.015724	-0.004473	0.000539	1.000000	0.000080	0.000037	0.000047
09561	2	-0.033226	-0.061180	9.812993	-0.015132	-0.004466	0.000540	1.000000	0.000057	0.000029	0.000047
09562	2	-0.032556	-0.061253	9.812994	-0.014535	-0.004465	0.000541	1.000000	0.000072	0.000029	0.000053
09563	2	-0.032780	-0.075795	9.813056	-0.014756	-0.019092	0.000687	1.000000	0.000065	0.000029	0.000062
09564	2	-0.019061	-0.047386	9.782270	-0.001070	0.009240	-0.030288	1.000000	0.000064	0.000030	0.000063
09565	2	-0.016145	-0.062065	9.811467	0.001836	-0.005252	-0.001013	1.000000	0.000063	0.000023	0.000072
09566	2	-0.032373	-0.075686	9.798495	-0.014482	-0.019103	-0.013875	1.000000	0.000078	0.000023	0.000070
09567	2	-0.012424	-0.047020	9.825979	0.005442	0.009440	0.013406	1.000000	0.000092	0.000016	0.000071
09568	2	-0.015723	-0.061439	9.796906	0.002117	-0.005288	-0.015578	1.000000	0.000093	0.000025	0.000084
09569	2	-0.016821	-0.061628	9.782338	0.001153	-0.005351	-0.030143	1.000000	0.000070	0.000034	0.000083
09570	2	-0.013978	-0.076449	9.811532	0.004062	-0.019858	-0.000868	1.000000	0.000078	0.000026	0.000097
09571	2	-0.028559	-0.060813	9.798447	-0.010609	-0.004426	-0.014017	1.000000	0.000084	0.000027	0.000096
09572	2	-0.011873	-0.061517	9.811476	0.006072	-0.005202	-0.001015	1.000000	0.000092	0.000025	0.000095
09573	2	-0.013722	-0.076105	9.796970	0.004294	-0.019882	-0.015433	1.000000	0.000085	0.000034	0.000107
09574	2	-0.010829	-0.061498	9.811477	0.007281	-0.005207	-0.001015	1.000000	0.000093	0.000034	0.000110
09575	2	-0.010307	-0.061489	9.811478	0.007906	-0.005215	-0.001016	1.000000	0.000087	0.000043	0.000123
09576	2	-0.025799	-0.060705	9.798455	-0.007609	-0.004427	-0.014014	1.000000	0.000086	0.000035	0.000112
09577	2	-0.025881	-0.075264	9.798518	-0.007845	-0.019038	-0.013868	1.000000	0.000092	0.000027	0.000108
09578	2	-0.008514	-0.061488	9.811480	0.009727	-0.005166	-0.001017	1.000000	0.000085	0.000052	0.000127
09579	2	-0.024989	-0.075239	9.798520	-0.006619	-0.018998	-0.013867	1.000000	0.000092	0.000044	0.000126
09580	2	-0.024167	-0.075250	9.798522	-0.006014	-0.018987	-0.013866	1.000000	0.000083	0.000029	0.000120
09581	2	-0.022667	-0.060773	9.798462	-0.004588	-0.004327	-0.014012	1.000000	0.000074	0.000037	0.000134
09582	2	-0.025096	-0.060712	9.769332	-0.007129	-0.004439	-0.043139	1.000000	0.000081	0.000023	0.000132
09583	2	-0.017157	-0.046063	9.827538	0.000618	0.010419	0.014968	1.000000	0.000088	0.000008	0.000123
09584	2	-0.020421	-0.060560	9.798469	-0.002771	-0.004317	-0.014012	1.000000	0.000088	0.000015	0.000129
09585	2	-0.018427	-0.060804	9.813034	-0.000600	-0.004247	0.000551	1.000000	0.000065	0.000023	0.000127
09586	2	-0.018625	-0.046220	9.798408	-0.000735	0.010313	-0.014158	1.000000	0.000081	0.000024	0.000132
09587	2	-0.020267	-0.060739	9.783905	-0.002537	-0.004363	-0.028574	1.000000	0.000073	0.000009	0.000141
09588	2	-0.032509	-0.060008	9.800027	-0.014889	-0.003463	-0.012435	1.000000	0.000073	0.000010	0.000134
09589	2	-0.002679	-0.061695	9.796916	0.014800	-0.005130	-0.015589	1.000000	0.000071	-0.000005	0.000133
09590	2	-0.031088	-0.059940	9.800032	-0.013663	-0.003431	-0.012433	1.000000	0.000079	0.000004	0.000140
09591	2	-0.015107	-0.046007	9.798415	0.002282	0.010371	-0.014158	1.000000	0.000085	-0.000006	0.000124
09592	2	-0.015427	-0.060783	9.798476	0.002060	-0.004233	-0.014011	1.000000	0.000061	0.000011	0.000125
09593	2	-0.027968	-0.060170	9.814601	-0.010285	-0.003315	0.002132	1.000000	0.000062	0.000012	0.000162
09594	2	-0.015950	-0.060789	9.783913	0.001700	-0.004254	-0.028574	1.000000	0.000076	0.000013	0.000154
09595	2	-0.013862	-0.060663	9.798479	0.003899	-0.004193	-0.014012	1.000000	0.000077	0.000021	0.000171
09596	2	-0.026316	-0.059764	9.814608	-0.008477	-0.003296	0.002133	1.000000	0.000085	0.000019	0.000162
09597	2	-0.026633	-0.074312	9.814671	-0.008725	-0.017912	0.002281	1.000000	0.000085	0.000027	0.000157
09598	2	-0.025268	-0.059682	9.814611	-0.007266	-0.003284	0.002134	1.000000	0.000085	0.000028	0.000167
09599	2	-0.012534	-0.074973	9.798546	0.005451	-0.018789	-0.013866	1.000000	0.000098	0.000028	0.000156
09600	2	-0.023144	-0.044762	9.814553	-0.005206	0.011359	0.001987	1.000000	0.000099	0.000021	0.000164
09601	2	-0.024960	-0.059429	9.800053	-0.007032	-0.003318	-0.012426	1.000000	0.000091	0.000029	0.000165
09602	2	-0.022794	-0.059457	9.814618	-0.004857	-0.003275	0.002136	1.000000	0.000099	0.000021	0.000161
09603	2	-0.009225	-0.060281	9.798487	0.008699	-0.004180	-0.014015	1.000000	0.000091	0.000029	0.000152
09604	2	-0.008055	-0.075008	9.813114	0.010076	-0.018724	0.000693	1.000000	0.000090	0.000038	0.000156
09605	2	-0.021076	-0.059544	9.814622	-0.003009	-0.003245	0.002136	1.000000	0.000089	0.000024	0.000149
09606	2	-0.020978	-0.044907	9.799997	-0.003160	0.011325	-0.012572	1.000000	0.000089	0.000016	0.000142
09607	2	-0.038190	-0.073428	9.787130	-0.020378	-0.017101	-0.025243	1.000000	0.000073	0.000025	0.000150
09608	2	-0.019133	-0.059629	9.814625	-0.001209	-0.003187	0.002137	1.000000	0.000094	0.000024	0.000146
09609	2	-0.020102	-0.059390	9.800064	-0.002198	-0.003229	-0.012424	1.000000	0.000092	0.000024	0.000125
09610	2	-0.019582	-0.059467	9.800065	-0.001621	-0.003228	-0.012424	1.000000	0.000085	0.000031	0.000135
09611	2	-0.001099	-0.031088	9.812928	0.016797	0.025214	0.000243	1.000000	0.000093	0.000015	0.000138
09612	2	0.175132	0.076124	9.882475	0.193675	0.133116	0.068839	1.000000	0.000059	0.000085	0.000026
09613	2	12.073987	0.149350	10.102835	12.112626	0.152899	0.243668	0.999987	-0.000118	0.001895	-0.004817
09614	2	3.803289	1.308625	9.749259	3.889980	1.269038	-0.092516	0.999769	-0.000286	0.001702	-0.021432
09615	2	-18.194618	-1.825520	10.636366	-18.167475	-0.822186	0.993152	0.999523	0.000441	0.005270	-0.030411
09616	2	-2.911954	3.706403	11.573134	-2.356549	3.894051	1.824563	0.999343	0.002803	0.021054	-0.029373
09617	2	-5.554617	4.398830	18.020028	-3.869694	4.652171	8.576770	0.998105	0.003429	0.055696	-0.025948
09618	2	-4.337866	4.431554	21.927576	-0.731246	4.804160	12.444695	0.995160	-0.008302	0.093943	-0.027624
09619	2	-5.613708	4.459679	19.033177	-0.971855	5.538896	9.727351	0.990813	-0.030559	0.126424	-0.037049
09620	2	-11.686965	0.956397	16.540073	-6.367734	3.570238	9.094122	0.984220	-0.062788	0.155993	-0.055088
09621	2	-12.409128	-0.472760	12.235273	-7.229530	3.336024	5.683298	0.972346	-0.101516	0.192295	-0.085213
09622	2	-13.722117	-1.291222	12.356834	-6.533676	4.716492	6.824724	0.947722	-0.144841	0.255463	-0.124827
09623	2	-15.266213	-2.730457	12.801517	-4.207125	6.113880	8.816977	0.898797	-0.187374	0.357575	-0.170864
09624	2	-2.414529	1.514910	17.214004	12.642881	5.800835	0.612908	0.821835	-0.223172	0.472575	-0.226835
09625	2	12.729661	5.859159	-5.198071	1.091588	-4.260135	-24.080962	0.773281	-0.249217	0.516277	-0.270897
09626	2	-5.428053	-5.469554	-19.354924	-20.537244	-3.088650	-10.970636	0.819059	-0.262261	0.423525	-0.284585
09627	2	-5.717039	-8.702941	9.985195	2.139369	0.271886	4.422004	0.855742	-0.265728	0.320542	-0.307158
