// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	0.016552	-0.834509	9.723235	0.130743	0.265667	-0.058187	-0.054244	-0.004760	0.026024	-0.998177
16634	2	0.156579	-0.844208	9.657392	-0.005240	0.284948	-0.121393	-0.054439	-0.004968	0.025948	-0.998168
16635	2	0.118325	-0.543502	9.645829	0.005791	-0.007197	-0.150840	-0.054551	-0.005296	0.024988	-0.998184
16636	2	0.108431	-0.309724	9.645840	-0.002253	-0.224583	-0.163881	-0.054601	-0.005667	0.024282	-0.998197
16637	2	0.094497	-0.208344	9.817897	0.009189	-0.329959	0.002326	-0.054625	-0.006013	0.024290	-0.998193
16638	2	0.024885	-0.505961	9.877546	0.117108	-0.048988	0.077025	-0.054602	-0.006260	0.024607	-0.998185
16639	2	0.071976	-0.464070	9.819494	0.069643	-0.085401	0.017412	-0.054624	-0.006481	0.024591	-0.998183
16640	2	0.201675	-0.360731	9.700363	-0.067469	-0.168195	-0.105216	-0.054563	-0.006699	0.024692	-0.998182
16641	2	0.113829	-0.638568	9.449881	0.051570	0.106378	-0.341310	-0.054438	-0.006918	0.025177	-0.998176
16642	2	0.060939	-0.581089	9.621360	0.102456	0.025254	-0.174181	-0.054296	-0.007051	0.025563	-0.998173
16643	2	0.185336	-0.281461	9.814495	-0.050288	-0.282463	0.003399	-0.054198	-0.007146	0.026449	-0.998154
16644	2	0.214313	-0.182861	9.925055	-0.089093	-0.409994	0.107492	-0.054091	-0.007148	0.028204	-0.998112
16645	2	0.069150	-0.440172	9.826739	0.079786	-0.204449	0.021691	-0.053919	-0.007132	0.030545	-0.998053
16646	2	-0.020239	-1.101383	9.573708	0.234704	0.417942	-0.187747	-0.053617	-0.007104	0.032441	-0.998009
16647	2	0.039023	-1.049298	9.668699	0.169074	0.343364	-0.094674	-0.053405	-0.007079	0.032880	-0.998006
16648	2	0.003841	-0.787012	9.835238	0.177556	0.066396	0.052168	-0.053304	-0.007126	0.032550	-0.998022
16649	2	0.324352	-0.629655	9.803943	-0.155852	-0.045319	0.015467	-0.053344	-0.007281	0.032045	-0.998035
16650	2	0.400953	-0.139545	9.804063	-0.281994	-0.521115	-0.017341	-0.053513	-0.007369	0.032322	-0.998017
16651	2	0.089044	-0.092666	9.911753	0.023596	-0.633615	0.079591	-0.053686	-0.007365	0.034589	-0.997931
16652	2	-0.054322	-0.464445	9.773402	0.200437	-0.324822	-0.035571	-0.053925	-0.007235	0.037935	-0.997798
16653	2	0.040060	-1.356864	9.706365	0.195902	0.513300	-0.027287	-0.054120	-0.007004	0.040918	-0.997671
16654	2	0.191769	-1.807002	9.492283	0.086992	0.961761	-0.196404	-0.054181	-0.006858	0.041293	-0.997653
16655	2	0.163078	-1.237785	9.548304	0.052371	0.406444	-0.191838	-0.054119	-0.006730	0.039227	-0.997741
16656	2	-0.058345	-0.511231	9.753735	0.197196	-0.313414	-0.052419	-0.054051	-0.006828	0.037044	-0.997827
16657	2	0.233489	-0.063936	9.831972	-0.137972	-0.699937	-0.003645	-0.054064	-0.006835	0.035975	-0.997866
