// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	-0.146354	0.642524	9.717792	0.092018	-0.100025	-0.073526	0.992648	0.042378	0.007154	-0.113149
16634	2	-0.277482	0.684545	9.693750	-0.030522	-0.027629	-0.090923	0.992565	0.042517	0.006951	-0.113835
16635	2	-0.338560	0.882616	9.719229	-0.047395	0.176436	-0.049304	0.992503	0.042429	0.006842	-0.114415
16636	2	-0.275974	0.870775	9.795144	0.011346	0.150846	0.023794	0.992460	0.041927	0.006800	-0.114973
16637	2	-0.357615	0.800743	9.842801	-0.082247	0.110432	0.068144	0.992410	0.041152	0.006777	-0.115682
16638	2	-0.366992	0.482880	9.843431	-0.164118	-0.183674	0.046334	0.992324	0.040717	0.006638	-0.116582
16639	2	-0.266895	0.335909	9.828373	-0.103939	-0.347802	0.018345	0.992201	0.041177	0.006447	-0.117476
16640	2	-0.278393	0.798932	9.925441	-0.011418	0.082673	0.148396	0.992061	0.042187	0.006238	-0.118303
16641	2	-0.309603	1.144930	10.102891	0.036297	0.397195	0.351762	0.991942	0.042670	0.006057	-0.119133
16642	2	-0.304465	0.934463	10.040876	-0.011519	0.193604	0.274309	0.991852	0.042556	0.005905	-0.119934
16643	2	-0.323578	0.755579	10.008576	-0.076225	0.028160	0.229254	0.991779	0.042654	0.005645	-0.120515
16644	2	-0.270398	0.875864	9.964062	-0.002116	0.130777	0.192595	0.991710	0.043099	0.005307	-0.120936
16645	2	-0.282435	1.127638	9.975181	0.039164	0.369977	0.223106	0.991653	0.043390	0.004916	-0.121319
16646	2	-0.284425	1.117638	9.936422	0.027103	0.363616	0.183789	0.991616	0.043218	0.004496	-0.121693
16647	2	-0.210168	0.962528	9.920092	0.054734	0.203458	0.153980	0.991599	0.042833	0.004101	-0.121987
16648	2	-0.304513	0.756310	9.947477	-0.093661	0.029882	0.167661	0.991581	0.042781	0.003710	-0.122157
16649	2	-0.198335	0.946644	9.814961	0.046307	0.198680	0.047703	0.991568	0.042943	0.003186	-0.122224
16650	2	-0.124431	0.845386	9.629710	0.083716	0.097928	-0.145999	0.991555	0.042837	0.002709	-0.122374
16651	2	-0.221269	0.597126	9.593767	-0.079358	-0.115516	-0.198831	0.991530	0.043015	0.002255	-0.122529
16652	2	-0.368165	0.666067	9.713028	-0.214684	-0.030357	-0.072303	0.991488	0.043760	0.001833	-0.122611
16653	2	-0.252104	1.058524	9.830773	-0.016162	0.298117	0.073615	0.991436	0.044495	0.001473	-0.122771
16654	2	-0.080403	1.180800	9.789519	0.173191	0.370412	0.039634	0.991406	0.044600	0.001181	-0.122982
16655	2	-0.021051	0.765825	9.641529	0.125492	-0.031767	-0.141635	0.991399	0.044404	0.000961	-0.123108
16656	2	-0.139575	0.671766	9.565869	-0.016269	-0.087894	-0.222661	0.991398	0.044673	0.000748	-0.123019
16657	2	-0.198777	0.852484	9.562929	-0.033580	0.095910	-0.210317	0.991409	0.045024	0.000632	-0.122802
