// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	0.083340	-2.435900	9.617289	0.105235	0.332968	0.102495	0.022006	-0.011525	0.104914	-0.994171
16634	2	0.261380	-2.330534	9.514716	-0.066898	0.239637	-0.016381	0.021735	-0.011652	0.104808	-0.994187
16635	2	0.134783	-2.225627	9.557999	0.068064	0.138442	0.000728	0.021498	-0.011774	0.104465	-0.994226
16636	2	0.125263	-1.998228	9.689369	0.093451	-0.103107	0.080397	0.021236	-0.011893	0.104026	-0.994277
16637	2	0.093533	-1.965958	9.771453	0.131194	-0.146483	0.153072	0.020957	-0.011961	0.104066	-0.994278
16638	2	-0.072597	-2.146488	10.009379	0.299749	-0.015809	0.420115	0.020751	-0.012071	0.104303	-0.994256
16639	2	0.072791	-2.289769	9.705427	0.143821	0.179296	0.156807	0.020695	-0.012355	0.104328	-0.994251
16640	2	0.254624	-2.182719	9.679246	-0.029682	0.071425	0.112579	0.020728	-0.012555	0.104396	-0.994241
16641	2	0.122174	-2.121147	9.684017	0.108579	0.014431	0.101060	0.020723	-0.012703	0.104509	-0.994227
16642	2	0.033268	-2.307920	9.703786	0.193359	0.194928	0.158054	0.020605	-0.012790	0.104563	-0.994223
16643	2	0.142065	-2.188204	9.864449	0.096109	0.036571	0.292024	0.020482	-0.012833	0.104768	-0.994203
16644	2	0.237380	-2.034396	9.879015	0.008690	-0.127681	0.275606	0.020514	-0.012913	0.105238	-0.994152
16645	2	0.091726	-2.014573	9.783017	0.153329	-0.131968	0.173973	0.020627	-0.012975	0.105944	-0.994073
16646	2	-0.000034	-2.171404	9.685404	0.237402	0.033465	0.110244	0.020589	-0.013057	0.106500	-0.994014
16647	2	-0.003486	-2.285189	9.706093	0.238725	0.129966	0.155084	0.020533	-0.013094	0.106964	-0.993965
16648	2	0.059418	-2.198617	9.794766	0.183230	0.018692	0.224292	0.020514	-0.013148	0.106985	-0.993962
16649	2	0.315735	-2.124856	9.798523	-0.068034	-0.063371	0.218121	0.020539	-0.013282	0.106767	-0.993983
16650	2	0.342996	-1.960069	9.869714	-0.084664	-0.238956	0.252425	0.020538	-0.013351	0.106816	-0.993977
16651	2	0.138123	-1.806370	9.922828	0.128704	-0.397339	0.265513	0.020529	-0.013382	0.107367	-0.993917
16652	2	-0.037697	-1.978667	9.954870	0.300462	-0.248186	0.329504	0.020573	-0.013470	0.108749	-0.993765
16653	2	0.069179	-2.444589	9.661417	0.168119	0.236549	0.149214	0.020674	-0.013536	0.110256	-0.993596
16654	2	0.153538	-2.783001	9.460095	0.065723	0.585191	0.031869	0.020699	-0.013603	0.110961	-0.993516
16655	2	0.230937	-2.413082	9.414279	0.001261	0.227348	-0.093980	0.020656	-0.013558	0.110714	-0.993545
16656	2	0.083540	-2.169988	9.654606	0.163788	-0.049993	0.081650	0.020639	-0.013392	0.110291	-0.993595
16657	2	-0.028540	-2.174577	9.980344	0.285506	-0.107669	0.397296	0.020689	-0.013460	0.110158	-0.993608
16658	2	0.159024	-1.826354	9.993824	0.114486	-0.458602	0.336891	0.020896	-0.013668	0.110341	-0.993580
16659	2	0.227769	-2.215742	9.673652	0.023740	-0.019054	0.114044	0.021256	-0.013884	0.110956	-0.993501
