// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	-9.717517	0.701563	-1.258312	0.215296	0.111396	0.008051	0.435768	0.588924	0.457109	-0.504307
16634	2	-9.626145	0.676782	-1.158249	0.178493	0.027330	-0.095196	0.435450	0.589164	0.456853	-0.504533
16635	2	-9.695849	0.684303	-1.134641	0.177895	-0.005904	-0.028339	0.435153	0.589297	0.456761	-0.504719
16636	2	-9.810784	0.547742	-1.104711	0.032192	-0.020576	0.075205	0.434987	0.589365	0.456730	-0.504810
16637	2	-9.679217	0.564238	-1.037060	0.046441	-0.077510	-0.062153	0.434796	0.589441	0.456631	-0.504975
16638	2	-9.657716	0.741801	-1.020770	0.219807	-0.128459	-0.076214	0.434539	0.589620	0.456464	-0.505138
16639	2	-9.765589	0.709784	-1.018774	0.180481	-0.135592	0.028932	0.434480	0.589687	0.456393	-0.505174
16640	2	-9.879345	0.468122	-1.079319	-0.051929	-0.037891	0.136252	0.434495	0.589656	0.456349	-0.505239
16641	2	-9.720707	0.377067	-1.183364	-0.107801	0.099671	-0.014059	0.434429	0.589673	0.456218	-0.505394
16642	2	-9.610787	0.420306	-1.192946	-0.054555	0.111853	-0.119828	0.434279	0.589764	0.456111	-0.505513
16643	2	-9.687255	0.563627	-1.204462	0.083303	0.085583	-0.035313	0.434223	0.589755	0.456119	-0.505564
