// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	-9.681190	-0.832661	-1.104546	0.303870	0.123995	-0.038688	0.398288	0.542899	0.507799	-0.537371
16634	2	-9.666388	-0.949771	-1.197014	0.208228	0.235213	-0.031313	0.397884	0.543112	0.507491	-0.537746
16635	2	-9.629278	-0.954942	-1.003042	0.167575	0.052715	-0.085913	0.397615	0.543229	0.507146	-0.538152
16636	2	-9.552644	-0.851739	-1.015219	0.266450	0.058653	-0.172423	0.397445	0.543257	0.506948	-0.538436
16637	2	-9.518755	-1.005352	-1.188316	0.148128	0.260573	-0.172164	0.397177	0.543340	0.506745	-0.538741
16638	2	-9.546116	-1.202278	-1.016966	-0.070297	0.125520	-0.138633	0.396862	0.543492	0.506502	-0.539048
16639	2	-9.678037	-1.173103	-1.034127	-0.023295	0.121039	-0.009892	0.396413	0.543785	0.506348	-0.539228
16640	2	-9.589470	-0.751977	-1.061955	0.386207	0.080344	-0.143378	0.396155	0.544007	0.506286	-0.539251
16641	2	-9.578508	-0.785339	-0.943420	0.329094	-0.032595	-0.161509	0.396003	0.544245	0.506278	-0.539130
16642	2	-9.634276	-1.146747	-1.158560	0.018891	0.232234	-0.044255	0.396137	0.544276	0.506355	-0.538928
16643	2	-9.661302	-1.316060	-1.176512	-0.142237	0.275860	0.003658	0.396087	0.544319	0.506304	-0.538969
16644	2	-9.578497	-1.167850	-1.147363	-0.009171	0.229915	-0.098009	0.395811	0.544418	0.506247	-0.539126
16645	2	-9.513471	-0.819925	-0.983067	0.295778	0.012629	-0.218044	0.395520	0.544607	0.506187	-0.539204
16646	2	-9.644651	-1.035235	-1.176092	0.133464	0.222018	-0.045032	0.395657	0.544636	0.506272	-0.538995
