// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	-0.148735	0.267648	9.309190	-0.451733	1.123376	-0.577504	-0.069806	-0.028753	0.074458	0.994362
16634	2	-0.546051	1.037016	10.028837	-0.031720	0.535988	0.270094	-0.069668	-0.030825	0.076966	0.994119
16635	2	-0.828419	1.707695	10.185863	0.299113	-0.003648	0.544172	-0.069436	-0.030972	0.079771	0.993909
16636	2	-0.521159	2.419380	10.157369	0.091627	-0.700147	0.617960	-0.069521	-0.030545	0.081543	0.993773
16637	2	-0.723774	1.950893	9.707966	0.286712	-0.283975	0.107562	-0.069903	-0.028583	0.079552	0.993966
16638	2	-0.090585	1.106187	8.962064	-0.364564	0.303197	-0.794623	-0.070276	-0.026988	0.077889	0.994116
16639	2	-0.267350	1.198566	9.374693	-0.197084	0.289279	-0.364388	-0.070273	-0.027838	0.078203	0.994068
16640	2	-0.528872	1.339933	9.529315	0.058219	0.213349	-0.177644	-0.069859	-0.028209	0.078106	0.994094
16641	2	-0.423494	1.904838	9.616560	0.010658	-0.336766	-0.005934	-0.069646	-0.029134	0.078743	0.994032
16642	2	-1.009360	2.228895	10.227485	0.581600	-0.488845	0.675920	-0.070041	-0.029235	0.076983	0.994139
16643	2	-0.305564	1.541674	9.567821	-0.133003	-0.068978	-0.117830	-0.070620	-0.026787	0.073256	0.994449
16644	2	-0.136861	1.823437	9.667403	-0.239501	-0.430744	0.013750	-0.071240	-0.027011	0.069066	0.994698
16645	2	-0.643010	1.102881	9.408206	0.194815	0.217410	-0.322808	-0.071730	-0.025857	0.063071	0.995092
16646	2	-0.276514	0.484169	9.406515	-0.236182	0.676709	-0.416986	-0.072079	-0.025922	0.058979	0.995316
16647	2	-0.671537	0.312432	9.565783	0.120404	0.879088	-0.259391	-0.072398	-0.026151	0.058558	0.995312
16648	2	-0.544968	0.488162	9.879037	-0.004408	0.723806	0.066925	-0.072448	-0.026443	0.059043	0.995272
16649	2	-0.236552	0.544109	9.619032	-0.290923	0.621136	-0.199823	-0.072242	-0.026547	0.061426	0.995140
16650	2	-0.171024	2.541956	10.279386	-0.142308	-1.229421	0.705132	-0.071740	-0.028534	0.063440	0.994995
16651	2	-1.108681	2.801733	10.477830	0.793938	-1.375952	0.973341	-0.071837	-0.028125	0.056634	0.995410
16652	2	-0.497961	0.778506	9.524757	0.019630	0.247841	-0.246630	-0.072224	-0.024753	0.045990	0.996020
16653	2	-0.059841	-0.771316	8.642829	-0.530378	1.476234	-1.278330	-0.072265	-0.023771	0.039197	0.996331
16654	2	-0.238316	-0.915293	9.104879	-0.400941	1.631250	-0.814268	-0.071967	-0.025273	0.040369	0.996269
16655	2	-0.415525	0.253089	9.583064	-0.121813	0.602833	-0.237065	-0.070775	-0.026972	0.045921	0.996070
16656	2	-0.854163	0.377798	9.525012	0.290866	0.659378	-0.269261	-0.070516	-0.028753	0.053393	0.995666
16657	2	-0.186669	3.217027	10.535132	-0.109182	-1.992138	1.022002	-0.069591	-0.031955	0.059674	0.995276
16658	2	-1.485154	1.882019	10.192615	0.983470	-0.524330	0.598552	-0.069333	-0.031735	0.054328	0.995607
16659	2	0.126531	0.027317	9.112943	-0.748998	0.847600	-0.769363	-0.068468	-0.029299	0.047764	0.996078
16660	2	-0.281379	-0.127451	9.180620	-0.375781	1.010831	-0.690414	-0.066898	-0.032782	0.048551	0.996039
16661	2	-1.147355	1.098243	10.192853	0.510002	0.032834	0.490485	-0.065233	-0.035007	0.050154	0.995994
16662	2	-0.511097	0.762157	9.649136	-0.146510	0.246944	-0.124268	-0.063905	-0.035160	0.050823	0.996041
16663	2	-0.663299	1.158737	9.953531	0.002083	-0.059940	0.229789	-0.062827	-0.037411	0.053875	0.995867
16664	2	-1.233220	2.296874	11.048894	0.575568	-0.998034	1.480974	-0.061683	-0.038567	0.051286	0.996031
16665	2	-0.913280	0.461647	9.642153	0.178191	0.525022	-0.132371	-0.060539	-0.035821	0.043025	0.996595
16666	2	-0.462960	-0.885015	9.050075	-0.343102	1.625581	-0.860570	-0.057916	-0.035898	0.037651	0.996965
16667	2	-0.669851	-0.704505	9.394392	-0.150355	1.437003	-0.479309	-0.053906	-0.037628	0.036705	0.997161
16668	2	-0.546531	0.337390	9.630341	-0.217544	0.413911	-0.172301	-0.049977	-0.040026	0.038717	0.997197
16669	2	-0.996831	1.554678	10.385742	0.222415	-0.650296	0.713534	-0.047203	-0.043066	0.041310	0.997101
16670	2	-1.448800	1.387124	10.193608	0.638597	-0.443348	0.547253	-0.046053	-0.042845	0.040231	0.997209
16671	2	-0.489576	1.169089	9.863608	-0.292664	-0.370611	0.120797	-0.045687	-0.042093	0.038741	0.997316
16672	2	-0.812189	0.778787	9.907703	-0.002449	0.017171	0.158688	-0.045897	-0.042154	0.036847	0.997376
16673	2	-0.644222	0.424899	9.853966	-0.188319	0.317412	0.064555	-0.046388	-0.041508	0.035513	0.997429
16674	2	-0.817069	0.360416	9.783791	-0.008884	0.387094	0.004141	-0.046965	-0.041413	0.036161	0.997382
16675	2	-1.107934	0.781417	9.998413	0.303562	0.027635	0.272621	-0.047504	-0.041017	0.036999	0.997342
16676	2	-0.749661	0.441626	9.653279	-0.035526	0.315440	-0.125479	-0.048264	-0.039579	0.036991	0.997364
16677	2	-0.425967	0.546174	9.704557	-0.337684	0.189523	-0.091154	-0.048677	-0.039603	0.037563	0.997322
16678	2	-1.071111	0.439479	9.931092	0.275418	0.377579	0.174734	-0.049026	-0.039372	0.037101	0.997331
16679	2	-0.752860	0.074194	9.487361	-0.025757	0.664389	-0.318468	-0.049313	-0.038387	0.036189	0.997389
16680	2	-0.769944	0.223882	9.414614	0.018394	0.514657	-0.378036	-0.049505	-0.038606	0.037274	0.997331
16681	2	-1.016987	0.281609	9.908663	0.228966	0.529580	0.135291	-0.049783	-0.038305	0.037426	0.997323
