// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	-9.669747	0.577736	-1.679800	0.118459	0.131695	0.017274	0.502037	0.507465	0.568280	-0.409262
16634	2	-9.607622	0.504427	-1.788320	0.032036	0.239132	-0.030012	0.501981	0.507462	0.568146	-0.409521
16635	2	-9.630409	0.466759	-1.682448	0.013086	0.129495	-0.026149	0.501852	0.507542	0.567974	-0.409819
16636	2	-9.634676	0.616822	-1.541902	0.185031	0.017234	-0.037700	0.501842	0.507487	0.567902	-0.409998
16637	2	-9.584246	0.508839	-1.523941	0.083632	-0.005917	-0.095072	0.501793	0.507492	0.567827	-0.410156
16638	2	-9.619569	0.658481	-1.454241	0.242961	-0.055895	-0.064746	0.501775	0.507439	0.567854	-0.410206
16639	2	-9.639345	0.519371	-1.544796	0.092336	0.008756	-0.036977	0.501900	0.507203	0.568058	-0.410063
16640	2	-9.725585	0.403894	-1.671038	-0.041956	0.100470	0.063073	0.501971	0.507036	0.568214	-0.409967
16641	2	-9.627690	0.520832	-1.680610	0.075223	0.143476	-0.026888	0.501942	0.506968	0.568294	-0.409975
16642	2	-9.582064	0.526922	-1.682960	0.083243	0.154420	-0.071272	0.501960	0.506864	0.568366	-0.409982
16643	2	-9.636972	0.380887	-1.748241	-0.070964	0.187602	-0.013074	0.501951	0.506816	0.568384	-0.410027
16644	2	-9.731115	0.569106	-1.596800	0.138178	0.054342	0.063861	0.501961	0.506741	0.568395	-0.410092
16645	2	-9.628325	0.453091	-1.695764	0.011029	0.151761	-0.026861	0.502070	0.506546	0.568482	-0.410079
16646	2	-9.524135	0.525642	-1.520200	0.113571	0.010350	-0.154352	0.502027	0.506502	0.568481	-0.410186
16647	2	-9.572477	0.507486	-1.507170	0.097976	-0.012458	-0.109509	0.502052	0.506443	0.568541	-0.410146
16648	2	-9.670354	0.466514	-1.629652	0.036892	0.084604	0.004676	0.502129	0.506314	0.568668	-0.410036
16649	2	-9.675589	0.453820	-1.682932	0.016400	0.133837	0.017727	0.502166	0.506216	0.568744	-0.410006
16650	2	-9.667871	0.537916	-1.622829	0.110434	0.089770	0.004155	0.502100	0.506192	0.568765	-0.410088
