// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	-9.604350	-1.041828	-1.477137	0.057353	0.085849	-0.040265	0.453569	0.480909	0.585542	-0.469193
16634	2	-9.555886	-1.105792	-1.541983	-0.018129	0.148155	-0.071375	0.453512	0.481047	0.585508	-0.469150
16635	2	-9.513095	-1.094935	-1.566081	-0.015650	0.176691	-0.111192	0.453379	0.481241	0.585433	-0.469173
16636	2	-9.485856	-0.978898	-1.496312	0.100367	0.120514	-0.161052	0.453387	0.481283	0.585496	-0.469043
16637	2	-9.525183	-1.306961	-1.499385	-0.220392	0.084474	-0.084907	0.453389	0.481320	0.585549	-0.468938
16638	2	-9.597897	-1.206674	-1.462912	-0.109101	0.047513	-0.029965	0.453166	0.481533	0.585379	-0.469145
16639	2	-9.631797	-1.152737	-1.537578	-0.056022	0.122002	0.008028	0.452982	0.481664	0.585264	-0.469333
16640	2	-9.572659	-0.900544	-1.611050	0.182225	0.227765	-0.068090	0.452788	0.481797	0.585052	-0.469647
16641	2	-9.538979	-0.972254	-1.503208	0.117832	0.121094	-0.108642	0.452728	0.481732	0.585042	-0.469785
16642	2	-9.516780	-1.229522	-1.388766	-0.127815	-0.011993	-0.117688	0.452613	0.481699	0.585054	-0.469915
16643	2	-9.589160	-1.452149	-1.457371	-0.341619	0.025862	-0.011295	0.452501	0.481707	0.585021	-0.470055
16644	2	-9.513940	-1.266180	-1.587094	-0.174844	0.182820	-0.087815	0.452313	0.481818	0.584850	-0.470336
