// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	9.552841	0.428044	2.492808	-0.372794	0.023177	0.062259	-0.560367	0.394775	0.472492	0.553978
16634	2	9.601334	0.325685	2.507050	-0.478097	0.018777	0.104371	-0.560122	0.395015	0.472329	0.554194
16635	2	9.690759	0.450554	2.452851	-0.354018	-0.045924	0.187456	-0.559973	0.395170	0.472243	0.554308
16636	2	9.551608	0.551732	2.572200	-0.255177	0.108735	0.090690	-0.560159	0.394978	0.472048	0.554423
16637	2	9.282885	0.604581	2.506861	-0.178709	0.112782	-0.180597	-0.560220	0.395046	0.471839	0.554491
16638	2	9.259306	0.549739	2.456605	-0.224426	0.065883	-0.220130	-0.560165	0.395247	0.471740	0.554487
16639	2	9.516471	0.550664	2.574531	-0.247521	0.118325	0.057438	-0.559933	0.395544	0.471776	0.554479
16640	2	9.762542	0.490749	2.553991	-0.319561	0.036285	0.285208	-0.559771	0.395704	0.471769	0.554535
16641	2	9.674051	0.511989	2.414065	-0.280935	-0.074333	0.166925	-0.559733	0.395714	0.471686	0.554636
16642	2	9.442958	0.499442	2.579445	-0.293849	0.140241	-0.016442	-0.559807	0.395649	0.471552	0.554722
16643	2	9.416888	0.487524	2.543515	-0.299382	0.110535	-0.051382	-0.559757	0.395830	0.471487	0.554699
16644	2	9.570752	0.479763	2.535054	-0.313565	0.064884	0.094554	-0.559773	0.395908	0.471510	0.554607
16645	2	9.629060	0.480971	2.487605	-0.310321	0.005689	0.139296	-0.559814	0.395939	0.471512	0.554542
16646	2	9.445868	0.550596	2.598035	-0.238788	0.162290	-0.004833	-0.559929	0.395863	0.471428	0.554551
16647	2	9.329690	0.458771	2.604411	-0.323609	0.190488	-0.122717	-0.559855	0.395904	0.471452	0.554577
16648	2	9.508596	0.516847	2.700685	-0.285203	0.244102	0.078384	-0.559724	0.396040	0.471463	0.554603
16649	2	9.606294	0.526678	2.467565	-0.259761	-0.002374	0.116042	-0.559696	0.396192	0.471450	0.554533
16650	2	9.582911	0.511146	2.516565	-0.276127	0.049396	0.104362	-0.559896	0.396078	0.471380	0.554472
16651	2	9.525151	0.450030	2.498006	-0.329714	0.040331	0.039253	-0.559963	0.396145	0.471326	0.554402
16652	2	9.464600	0.594799	2.481190	-0.178940	0.049244	-0.011958	-0.560028	0.396134	0.471289	0.554377
16653	2	9.477065	0.555353	2.562663	-0.225146	0.122279	0.017103	-0.560001	0.396207	0.471299	0.554343
16654	2	9.519714	0.403988	2.552090	-0.376599	0.092406	0.043831	-0.560010	0.396250	0.471365	0.554248
16655	2	9.524191	0.281197	2.422326	-0.487335	-0.040216	0.006571	-0.560117	0.396191	0.471576	0.554002
16656	2	9.585812	0.383983	2.491039	-0.395471	0.019635	0.091036	-0.560278	0.396000	0.471794	0.553789
16657	2	9.658648	0.530976	2.542700	-0.259667	0.061406	0.185590	-0.560515	0.395707	0.471994	0.553589
16658	2	9.504237	0.654804	2.552197	-0.129026	0.115813	0.048496	-0.560855	0.395406	0.472043	0.553418
16659	2	9.382925	0.562509	2.501137	-0.208413	0.086862	-0.088470	-0.561168	0.395155	0.472098	0.553232
16660	2	9.410082	0.657333	2.603555	-0.124442	0.184539	-0.029504	-0.561253	0.395108	0.472159	0.553129
16661	2	9.556121	0.560142	2.496918	-0.219849	0.039178	0.077607	-0.561264	0.395094	0.472326	0.552984
16662	2	9.478364	0.585529	2.451257	-0.185920	0.018253	-0.006772	-0.561321	0.395091	0.472344	0.552913
16663	2	9.428706	0.497645	2.530600	-0.276859	0.100975	-0.042056	-0.561394	0.395080	0.472360	0.552834
16664	2	9.597703	0.466051	2.442494	-0.308871	-0.026578	0.097044	-0.561325	0.395229	0.472475	0.552698
16665	2	9.673919	0.439920	2.399785	-0.334125	-0.086272	0.158176	-0.561422	0.395223	0.472509	0.552575
