// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF2
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	2.474894	9.328123	-2.625550	-0.037363	-0.087548	0.188471	-0.246471	-0.499359	-0.617454	-0.555556
16634	2	2.505224	9.122035	-2.556734	-0.072703	0.045542	-0.013860	-0.248667	-0.499023	-0.618140	-0.554115
16635	2	2.314473	8.896302	-2.493235	-0.033470	-0.025389	-0.288231	-0.250542	-0.498590	-0.618878	-0.552835
16636	2	2.196309	9.022582	-2.543825	0.000907	-0.124007	-0.185316	-0.252262	-0.498235	-0.619685	-0.551467
16637	2	2.318435	9.234855	-2.601952	-0.031236	-0.020789	0.057789	-0.253810	-0.497901	-0.620441	-0.550207
16638	2	2.351456	9.245372	-2.651068	-0.089114	0.023981	0.088110	-0.255074	-0.497497	-0.621131	-0.549209
16639	2	2.349948	9.173322	-2.635378	-0.105494	0.067491	0.015922	-0.255936	-0.496927	-0.621844	-0.548516
16640	2	1.964729	8.891760	-2.509567	0.049379	-0.170621	-0.368648	-0.256508	-0.496200	-0.622716	-0.547918
16641	2	1.853215	9.148168	-2.521146	0.164069	-0.272339	-0.149437	-0.257173	-0.495574	-0.623707	-0.547045
16642	2	2.061986	9.205729	-2.562224	0.068956	-0.078462	-0.037655	-0.257673	-0.495079	-0.624642	-0.546191
16643	2	2.000397	9.327387	-2.668683	0.044492	-0.165696	0.091561	-0.257866	-0.494763	-0.625455	-0.545454
16644	2	2.018555	9.213774	-2.659054	0.014330	-0.117786	-0.013470	-0.257825	-0.494579	-0.626080	-0.544923
16645	2	1.821165	9.184224	-2.694836	0.055651	-0.294943	-0.074173	-0.257806	-0.494490	-0.626626	-0.544386
16646	2	1.959432	9.239092	-2.701515	0.023076	-0.164914	0.009260	-0.257940	-0.494545	-0.627076	-0.543753
16647	2	2.076787	9.228088	-2.735559	-0.047824	-0.059666	0.033534	-0.258118	-0.494593	-0.627474	-0.543166
16648	2	2.114492	9.248278	-2.767804	-0.076895	-0.029421	0.069401	-0.258141	-0.494592	-0.627878	-0.542688
16649	2	2.007146	9.204953	-2.770739	-0.047840	-0.113616	0.006762	-0.258134	-0.494447	-0.628319	-0.542313
16650	2	1.962337	9.068640	-2.726022	-0.034225	-0.114028	-0.142733	-0.258138	-0.494254	-0.628772	-0.541962
16651	2	2.053693	9.146331	-2.737536	-0.048776	-0.032094	-0.047253	-0.258169	-0.494072	-0.629256	-0.541552
16652	2	2.133238	9.206546	-2.799681	-0.107951	0.018429	0.043144	-0.258109	-0.493906	-0.629692	-0.541226
16653	2	1.963714	9.303203	-2.803469	-0.010035	-0.134817	0.099271	-0.258045	-0.493721	-0.630088	-0.540963
16654	2	1.971197	9.352088	-2.810682	-0.000872	-0.126859	0.148789	-0.258166	-0.493509	-0.630385	-0.540753
16655	2	2.068307	9.221435	-2.787417	-0.063623	-0.011922	0.040143	-0.258410	-0.493296	-0.630587	-0.540596
16656	2	2.104148	9.123951	-2.787938	-0.113982	0.033625	-0.043737	-0.258594	-0.493049	-0.630740	-0.540555
16657	2	2.083629	9.119084	-2.814565	-0.133742	0.008886	-0.045241	-0.258713	-0.492840	-0.630898	-0.540504
16658	2	2.125993	9.127983	-2.772786	-0.112576	0.068252	-0.039718	-0.258705	-0.492632	-0.631094	-0.540468
16659	2	2.014964	9.193144	-2.764689	-0.042087	-0.029013	-0.003769	-0.258710	-0.492374	-0.631332	-0.540423
16660	2	2.005577	9.337480	-2.740335	0.028547	-0.031835	0.123030	-0.258901	-0.492056	-0.631547	-0.540370
16661	2	2.097230	9.436790	-2.731179	0.028401	0.054800	0.232555	-0.259285	-0.491633	-0.631718	-0.540371
16662	2	2.252356	9.187881	-2.707119	-0.104041	0.229596	0.023734	-0.259603	-0.491004	-0.631959	-0.540508
16663	2	2.154616	9.009770	-2.624962	-0.065457	0.196329	-0.186374	-0.259631	-0.490150	-0.632452	-0.540693
16664	2	2.116055	9.044160	-2.527252	0.037804	0.208806	-0.188941	-0.259348	-0.489172	-0.633166	-0.540880
16665	2	2.102814	9.209600	-2.598321	0.033097	0.162387	-0.016649	-0.258793	-0.488069	-0.634046	-0.541111
16666	2	2.239029	9.359243	-2.580215	0.042348	0.288512	0.146287	-0.257999	-0.486840	-0.634992	-0.541487
16667	2	2.226302	9.365392	-2.542865	0.077198	0.296377	0.139165	-0.257002	-0.485322	-0.636051	-0.542080
16668	2	2.063785	9.071367	-2.467638	0.102496	0.205327	-0.190553	-0.255860	-0.483540	-0.637322	-0.542720
16669	2	2.003267	9.062041	-2.442822	0.141683	0.169387	-0.218299	-0.254585	-0.481680	-0.638870	-0.543154
16670	2	2.273873	9.321002	-2.503410	0.066240	0.377794	0.095466	-0.253089	-0.479736	-0.640590	-0.543547
16671	2	3.299909	9.314206	-2.537851	-0.391779	1.280266	0.301261	-0.250986	-0.477319	-0.642628	-0.544245
16672	2	4.507372	9.257985	-2.589963	-0.978556	2.324515	0.501070	-0.247591	-0.473308	-0.645663	-0.545709
16673	2	5.227367	8.910512	-2.721442	-1.563203	2.896418	0.350756	-0.242568	-0.466445	-0.650559	-0.548053
16674	2	5.782035	8.536603	-2.994606	-2.255281	3.229033	0.175253	-0.235598	-0.455879	-0.657877	-0.551240
16675	2	6.249902	8.793379	-3.307950	-2.792798	3.409168	0.574906	-0.226512	-0.440764	-0.667889	-0.555286
16676	2	6.967793	9.160741	-3.768184	-3.625771	3.659639	1.147315	-0.215118	-0.420246	-0.680221	-0.560729
16677	2	6.608056	8.397807	-4.332057	-4.390111	2.847210	0.461773	-0.201058	-0.393644	-0.694568	-0.567623
16678	2	5.192914	7.493641	-4.836435	-4.433274	1.144676	-0.564038	-0.184838	-0.361252	-0.710600	-0.574786
16679	2	3.745710	6.989352	-5.339046	-4.103841	-0.553439	-1.196873	-0.167230	-0.324128	-0.727451	-0.581198
16680	2	3.054074	6.746074	-5.674993	-3.917961	-1.544484	-1.487954	-0.148695	-0.283312	-0.744363	-0.586130
16681	2	2.792750	6.901332	-5.998750	-3.827280	-2.179452	-1.326849	-0.128841	-0.239083	-0.760765	-0.589471
16682	2	1.215507	7.015401	-6.318523	-2.491253	-3.417248	-1.284543	-0.107752	-0.192092	-0.775749	-0.591358
16683	2	-0.301441	7.464445	-6.529813	-0.909276	-4.177833	-0.859447	-0.086211	-0.143836	-0.788479	-0.591760
16684	2	-1.924966	7.778225	-6.485515	0.935251	-4.445850	-0.559739	-0.065012	-0.096329	-0.798239	-0.591023
16685	2	-1.759349	7.448508	-6.325724	1.031774	-4.122614	-0.839351	-0.044224	-0.051202	-0.805319	-0.588969
16686	2	-1.042346	7.572578	-6.214802	0.559236	-3.688447	-0.695094	-0.022901	-0.008144	-0.810303	-0.585507
16687	2	-2.348230	7.910325	-6.213456	2.060913	-3.389774	-0.276184	-0.000944	0.033064	-0.813388	-0.580781
16688	2	-3.389804	8.091256	-5.965281	3.243653	-2.682422	-0.075549	0.020285	0.071567	-0.814697	-0.575097
16689	2	-3.338121	8.481971	-5.785489	3.234724	-2.006155	0.289708	0.040171	0.107020	-0.814417	-0.568909
16690	2	-3.009516	8.601166	-5.699924	2.942109	-1.610564	0.398446	0.059312	0.139524	-0.812835	-0.562419
16691	2	-2.829901	8.613953	-5.471518	2.752026	-1.144983	0.348722	0.077868	0.168960	-0.810259	-0.555760
16692	2	-2.718787	8.871080	-5.310264	2.580732	-0.682415	0.538878	0.096146	0.195469	-0.806990	-0.548922
16693	2	-3.139774	9.342423	-5.188293	2.838804	0.015430	0.957293	0.114136	0.218966	-0.803049	-0.542346
16694	2	-3.493028	9.536006	-4.953906	3.015583	0.694051	1.054569	0.131264	0.239136	-0.798673	-0.536382
16695	2	-2.925159	9.524584	-4.740775	2.452674	0.780458	0.916776	0.147356	0.256103	-0.794094	-0.531142
16696	2	-2.151034	9.506981	-4.437516	1.707342	0.736639	0.734423	0.162927	0.270411	-0.789501	-0.526328
16697	2	-2.276745	9.305943	-4.177864	1.773862	1.082489	0.430289	0.177721	0.282630	-0.784930	-0.521939
16698	2	-1.902945	9.615449	-4.022278	1.373974	1.164582	0.628172	0.191132	0.293007	-0.780432	-0.518209
16699	2	-1.114333	9.462603	-3.872093	0.798697	0.791532	0.410340	0.203721	0.301894	-0.775969	-0.515004
16700	2	-0.992444	9.340276	-3.732900	0.734016	0.833574	0.233491	0.215600	0.309626	-0.771641	-0.512072
16701	2	-0.928128	9.442986	-3.565346	0.632633	0.984111	0.255760	0.226459	0.316232	-0.767512	-0.509547
16702	2	-0.902864	9.557260	-3.460788	0.593369	1.109358	0.314012	0.236115	0.321636	-0.763583	-0.507682
16703	2	-0.394170	9.070756	-3.236820	0.290151	0.774679	-0.209244	0.244636	0.325874	-0.760053	-0.506240
16704	2	0.301560	8.719180	-3.092031	-0.113002	0.275722	-0.561399	0.252574	0.329427	-0.757096	-0.504470
16705	2	0.233466	9.126836	-3.135468	-0.061595	0.444731	-0.169936	0.260194	0.332711	-0.754545	-0.502259
16706	2	-0.224366	9.805990	-3.242154	0.215034	0.955911	0.471226	0.266961	0.335610	-0.752184	-0.500318
16707	2	-0.362376	9.637497	-3.056579	0.262403	1.154678	0.234844	0.272597	0.337784	-0.749924	-0.499207
16708	2	0.227865	8.844055	-2.780660	-0.075887	0.655528	-0.562520	0.277238	0.339211	-0.748167	-0.498318
16709	2	0.732566	8.604269	-2.710761	-0.338457	0.255436	-0.771764	0.281490	0.340320	-0.747018	-0.496900
16710	2	0.537548	9.193925	-2.864254	-0.197525	0.517672	-0.183880	0.285378	0.341416	-0.746287	-0.495025
16711	2	0.340602	9.523474	-2.940055	-0.065044	0.760328	0.130852	0.288569	0.342331	-0.745775	-0.493312
16712	2	0.503867	9.387099	-2.946246	-0.105126	0.621958	0.018583	0.291018	0.342985	-0.745423	-0.491949
16713	2	0.858124	9.125270	-2.977087	-0.215201	0.277635	-0.182190	0.293104	0.343437	-0.745236	-0.490677
16714	2	1.070100	8.941881	-3.079736	-0.203311	0.033164	-0.297197	0.295261	0.343755	-0.745295	-0.489069
